original Account,fake Account,percentage,status
abir.sag,abir.sag108,100,true
abir.sag,abir.sag24,100,true
abir.sag,abir.sag23,100,true
abir.sag,abir.sag14,100,true
abir.sag,bddgrhxv,100,true
abir.sag,abir.sahkir,50,false
abir.sag,abir.sag.1,100,true
abir.sag,jbbbggv,50,false
abir.sag,abir.sag.12689,100,true
justsul,justsuleymanhsyn,100,true
justsul,jus.tsul,100,true
justsul,justsulteller,100,true
justsul,just_sul10,100,true
justsul,justsul12,100,true
justsul,x...tom.1,100,true
justsul,justsul89888,100,true
justsul,justsul21,100,true
justsul,justsul9,100,true
haiifamajic1,haiifamajic.1,100,true
haiifamajic1,haiifamajic7,100,true
haiifamajic1,haiifamagic1,100,true
haiifamajic1,haiifa.majic,100,true
haiifamajic1,haifa__majic1,100,true
haiifamajic1,haiifamajic0,100,true
haiifamajic1,haiifamajic5,100,true
haiifamajic1,haiifamajicofficial1,100,true
haiifamajic1,haiifamagiclive,100,true
